code_departement,code_commune,nom_commune,piece_bucket,ref_m2,ref_raw,mean_w,n_mut,n_eff,mad_w,p25,p75,surf_med,age_med_j,Loyer,source_level
92,92012,Boulogne-Billancourt,3,7538.904551896051,7538.904551896051,7382.193998051063,508,302.0234348800132,1010.6183422673379,6754.475296962703,8128.933214989634,64.0,346,28.5163592393836,commune
92,92012,Boulogne-Billancourt,4,7773.188974112425,7773.188974112425,7756.355195186556,293,176.89464866823957,1197.4152398575507,7034.866369998765,8645.24094202751,87.0,340,28.5163592393836,commune
92,92012,Boulogne-Billancourt,5,8262.257395102957,8262.257395102957,8172.589360415395,113,63.65789074906283,1659.6228139796451,7163.785957448234,9400.303915916058,107.0,351,28.5163592393836,commune
92,92014,Bourg-la-Reine,1,6500.46897226783,6500.46897226783,6384.0871970503495,76,42.74328699400845,981.5759135309207,5518.458850900063,6997.545629606013,25.0,319,26.4985457238487,commune
92,92014,Bourg-la-Reine,2,5477.897884673548,5477.897884673548,5666.828006016497,69,43.661718053648514,1012.0982851512124,4869.242564154263,6333.223085214896,42.0,346,26.4985457238487,commune
92,92014,Bourg-la-Reine,3,5323.571505199066,5323.571505199066,5389.660296279893,135,71.32526021639111,1062.6590429111532,4524.5531967047955,5931.829355110007,64.0,555,22.7879877322543,commune
92,92014,Bourg-la-Reine,4,4781.677736408449,4781.677736408449,5172.241199034717,77,39.019076140416566,678.1837602348603,4513.997490624713,5809.523809523806,83.0,350,22.7879877322543,commune
92,92014,Bourg-la-Reine,5,4860.761023640306,4860.761023640306,5082.286369873308,23,14.135724777357066,1082.5733845854731,4130.575279282102,5502.793797694351,106.0,316,22.7879877322543,commune
92,92019,Châtenay-Malabry,1,6202.307621648565,6202.307621648565,6304.187015338231,68,33.71374801101285,637.2415223781777,5770.656653518722,6600.000000000001,26.0,483,25.5452105315642,commune
92,92019,Châtenay-Malabry,2,5558.139534883724,5558.139534883724,5638.259842074075,121,66.49038205814757,962.5886349866588,4908.8823954080335,6207.254017818545,44.0,372,25.5452105315642,commune
92,92019,Châtenay-Malabry,3,5087.126566398429,5087.126566398429,5096.272467341073,210,108.75320431919599,899.3326419810157,4406.0415273232775,5637.484617093703,66.0,521,21.8777050820001,commune
92,92019,Châtenay-Malabry,4,5064.795705060532,5064.795705060532,5156.73163440911,148,78.95805126612062,893.0285928087745,4515.334789625337,5735.905409056216,86.0,333,21.8777050820001,commune
92,92019,Châtenay-Malabry,5,4961.648702311212,4961.648702311212,5069.031659411947,60,31.174150193392943,1079.7064668778967,4281.849048249727,5786.558338867486,104.0,289,21.8777050820001,commune
92,92020,Châtillon,1,6802.806624066782,6802.806624066782,6848.003713804789,110,59.14215807511556,998.8934323392396,6138.694228505025,7600.000000000003,27.0,500,13.4775976711497,commune
92,92020,Châtillon,2,6086.553205192823,6086.553205192823,6096.6700319476995,216,119.0396874166082,906.3491046023287,5495.638651609311,6697.87730110698,42.0,511,13.4775976711497,commune
92,92020,Châtillon,3,5443.14631054762,5443.14631054762,5484.814812435554,349,187.90419409518012,981.2487156515998,4781.303119092338,6105.66299210042,63.0,506,10.279947063055975,commune
92,92020,Châtillon,4,5446.591822577741,5446.591822577741,5498.299280104547,141,68.9984128084052,1321.507367898286,4562.523963065988,6365.770659656932,81.0,368,10.279947063055975,commune
92,92020,Châtillon,5,4564.8991353808715,4564.8991353808715,4917.749895671201,23,11.284860851244458,687.4098381432169,4369.526113399012,5341.49174143466,111.0,535,10.279947063055975,commune
92,92022,Chaville,1,6664.451340240722,6664.451340240722,6732.2901873813225,72,40.72229474772428,1214.4987133051607,5864.093889311752,7650.819998320298,27.0,511,26.2936869339272,commune
92,92022,Chaville,2,5904.65181143685,5904.65181143685,5962.236495979007,111,60.95653885132153,1060.8963383127568,5113.646583082493,6500.13025550866,42.0,514,26.2936869339272,commune
92,92022,Chaville,3,5525.292601469344,5525.292601469344,5530.670259972775,144,75.41484036099926,1153.6650125424344,4691.549072899323,6145.358654805194,64.0,532,21.9239529878981,commune
92,92022,Chaville,4,5067.7608346472525,5067.7608346472525,5491.3436092303755,76,41.28106159832656,911.8261654601837,4562.082938021354,6094.337871059979,79.0,350,21.9239529878981,commune
92,92022,Chaville,5,4517.20077214275,4517.20077214275,5076.635662187341,28,14.816552186624468,495.1949379895037,4425.480136595889,6053.239994910389,99.0,512,21.9239529878981,commune
92,92023,Clamart,1,6287.742650984206,6287.742650984206,6404.112189336774,124,64.25436395690596,988.7479694795352,5620.841282119013,6906.626997539018,26.0,491,26.3402527158877,commune
92,92023,Clamart,2,5741.901348588825,5741.901348588825,5904.261739351349,252,135.69912793780566,857.5939483706801,5251.362562529536,6434.979097491153,43.0,576,26.3402527158877,commune
92,92023,Clamart,3,5449.16013375738,5449.16013375738,5555.953772947988,284,154.5108437328254,1079.6725670762346,4757.812499999996,6310.884454497376,62.0,491,23.4960871813645,commune
92,92023,Clamart,4,5714.285714285719,5714.285714285719,5753.466175109089,169,91.45010772738316,1058.914736508957,5000.057509436834,6460.481477646856,83.0,357,23.4960871813645,commune
